STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00218692,"WASECA SOUTHERN RESEARCH AND OUTREACH CENTER, MN US",44.0707,-93.5264,351.4,1931,1034,1034,90,51,,,5,153,24,158,41,-7,,,2.9,100,6792,6792,28.24,,50.8,61.7,39.8
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",44.98333,-93.3,,1931,1093,1093,105,50,10,4,5,128,33,143,30,-5,3,5,1.27,104,6822,6822,22.07,12.7,50.8,59.4,42.2
USC00215638,"MORRIS WEST CENTRAL RESEARCH AND OUTREACH CENTER, MN US",45.5901,-95.8745,347.5,1931,835,835,66,52,,,11,169,41,152,36,-16,,,1.47,106,7020,7020,19.24,,48,60.1,35.9
USC00211630,"CLOQUET, MN US",46.70539,-92.52391,385.6,1931,409,409,75,56,,,21,184,53,117,20,-17,,,2.26,99,8647,8647,28.84,,44,55.9,32.2
USC00213303,"GRAND RAPIDS FRS LAB, MN US",47.2436,-93.4975,399.3,1931,414,414,99,51,,,21,179,58,116,21,-25,,,1.62,99,8563,8563,20.28,,43.9,55.6,32.1
USC00211891,"CROOKSTON NW EXPERIMENTAL STATION, MN US",47.8014,-96.6031,270.7,1931,611,611,73,40,,,19,167,69,126,26,-18,,,1.12,101,8175,8175,16.41,,44.9,55.8,33.9
USC00210075,"ALBERT LEA 3 SE, MN US",43.6064,-93.3019,374.9,1931,1159,1159,60,53,,,1,139,32,148,39,-1,,,2.1,101,6569,6569,25.39,,51.5,60.8,42.1
USC00219166,"WORTHINGTON, MN US",43.61667,-95.6,484.9,1931,1118,1118,77,46,,,1,149,28,158,41,-8,,,1.56,100,6438,6438,21.42,,51.3,62.4,40.2
USC00212698,"FAIRMONT, MN US",43.6447,-94.4656,361.8,1931,1143,1143,80,53,,,2,151,17,162,51,-8,,,3.08,102,6491,6491,26.15,,51.6,63.1,40.1
USC00213290,"GRAND MEADOW, MN US",43.7047,-92.5644,411.5,1931,848,848,82,63,,,6,159,39,141,34,-11,,,1.97,100,7312,7312,32.18,,48.8,59.5,38.1
