STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00210018,"ADA, MN US",47.2991,-96.5161,276.5,1932,,,90,37,,,60,198,,,,-28,,,1.24,,,,13.94,,,,27.8
USC00210075,"ALBERT LEA 3 SE, MN US",43.6064,-93.3019,374.9,1932,760,760,47,45,,,24,158,81,130,18,-19,,,1.5,97,6659,6659,23.46,,45.1,54.5,35.7
USC00210195,"ANGUS 1 N, MN US",48.1,-96.7,264.9,1932,446,446,87,44,,,67,197,125,125,14,-26,,,1.28,99,9134,9134,15.62,,38.6,49.9,27.3
USC00210287,"ARTICHOKE LAKE 1 E, MN US",45.38564,-96.12578,334.7,1932,613,613,70,40,,,44,174,93,142,19,-23,,,1.8,102,7807,7807,18.19,,42.9,54.3,31.5
USC00210515,"BAUDETTE, MN US",48.7095,-94.5853,333.5,1932,288,288,80,64,,21,70,190,122,120,3,-34,,8,1.17,93,8754,8754,24.11,73,37.3,49.2,25.3
USC00210541,"BEARDSLEY, MN US",45.55,-96.71667,331.9,1932,,,,,,,,,,,,,,,,,7565,7565,,,,,
USC00210643,"BEMIDJI, MN US",47.5353,-94.8268,414.5,1932,405,405,,,,,77,190,112,117,13,-30,,,,98,8813,8813,,,38.5,50.5,26.5
USC00210746,"BIG FALLS, MN US",48.1969,-93.7994,371.9,1932,,,96,49,,,,,,,,,,,1.74,,9191,9191,21.62,,,,
USC00210783,"BIRD ISLAND, MN US",44.76667,-94.9,331.9,1932,644,644,92,49,,22,39,166,84,134,18,-19,,6,2.25,100,7163,7163,25.45,51.3,43.7,54,33.4
USC00210934,"BRAINERD, MN US",46.36667,-94.18333,371.9,1932,489,489,90,49,,,55,180,96,122,12,-27,,,1.61,97,8094,8094,19.54,,41.1,52.2,29.9
USC00211245,"CAMPBELL, MN US",46.09583,-96.40917,296.3,1932,584,584,,,,,61,184,104,137,25,-23,,,,101,8381,8381,,,41.1,52.6,29.5
USC00211465,"CHASKA, MN US",44.8,-93.5833,219.5,1932,750,750,90,51,,,46,175,74,140,29,-25,,,2.87,101,7182,7182,25.77,,44.5,56.3,32.8
